Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_15x7.5RM7.6,1,Buzzer,
"C1, C10, C11, C17, C18, C2, C21, C22, C3, C4, C5, C6",0805,12,100nF,
"C12, C7",CP_EIA-3528-21_Kemet-B_HandSolder,2,4.7uF/16V,
"C13, C14",CP_Elec_10x12.5,2,680uF_35V,
"C15, C16",0805,2,22pF,
"C19, C20",CP_Elec_6.3x7.7,2,220uF_16V,
C8,CP_Radial_D5.0mm_P2.00mm,1,10uF_16V,
C9,0805,1,470nF,
D1,D_SOD-123,1,3.3V,
"D2, D4",D_SMA,2,1N5819,
"D3, D5",LED_D3.0mm,2,Red,
D6,LED_D3.0mm,1,Green,
"D7, D8",D_SMA,2,1N5824,
J1,"TerminalBlock_Phoenix_PT-1,5-4-3.5-H_1x04_P3.50mm_Horizontal",1,PUMP,
J11,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",1,INPUT,
J15,TestPoint_Keystone_5015_Micro_Mini,1,BSEN,
J2,PinHeader_1x03_P2.54mm_Vertical,1,SOIL SENSOR,
J3,PinHeader_1x03_P2.54mm_Vertical,1,AM2301A,
J4,PinSocket_1x04_P2.54mm_Vertical,1,OLED SCREEN,
J5,PinSocket_1x04_P2.54mm_Vertical,1,Ultra Sonic,
J7,PinHeader_1x04_P2.54mm_Vertical,1,USB_C Conn,
JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,~,
"L1, L2",L_12x12mm_H6mm,2,33uH,
OC1,DIP-4_W7.62mm_SMDSocket_SmallPads,1,PC817XI,
"Q1, Q2",SOT-23_Handsoldering,2,IRLML6344,
Q3,SOT-363_SC-70-6,1,UMH3N,
"R1, R11, R14, R15, R2, R3, R4, R5, R9",0805,9,10k,
"R10, R12, R13",0805,3,330R,
R6,0805,1,20k,
R7,0805,1,1k,
R8,0805,1,2k,
SW1,PinHeader_1x06_P2.54mm_Vertical,1,RotaryEncoder,
SW2,SW_SPST_CK_KXT3,1,RESET,
SW3,SW_SPST_CK_KXT3,1,FLASH,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
U2,ESP32-WROOM-32U,1,ESP32-WROOM,
"U3, U4",TO-263-5_TabPin6,2,LM2596S-3.3V,
U5,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
Y1,Crystal_HC49-4H_Vertical,1,12MHz,
